time,downspeed,upspeed
18:01:07,6.89,15.55
18:02:32,23.97,13.95
18:03:52,23.55,18.96
18:05:12,12.55,14.3
18:06:33,4.25,14.29
18:07:54,7.79,17.82
18:09:14,8.18,21.23
18:10:35,3.97,20.72
18:11:56,3.57,22.3
18:13:19,1.9,10.43
18:14:43,5.33,21.23
18:16:04,5.76,21.13
18:17:25,2.79,12.56
18:18:48,3.37,19.85
18:20:10,2.37,23.27
18:21:32,2.14,26.04
18:22:53,6.98,27.89
18:24:14,1.34,10.36
18:25:38,11.06,22.72
18:27:01,14.24,18.05
18:28:22,11.35,17.08
18:29:42,9.28,12.55
18:31:07,13.76,13.02
18:32:29,9.75,15.48
18:33:51,13.16,18.31
18:35:12,13.32,20.16
18:36:33,10.69,20.48
18:37:54,1.95,14.19
18:39:15,13.13,8.6
18:40:38,2.92,15.71
18:41:59,7.47,14.24
18:43:21,5.59,13.0
18:44:41,6.3,10.78
18:46:03,14.92,12.92
18:47:26,6.76,13.45
18:48:46,7.25,11.48
18:50:08,12.5,11.99
18:51:30,16.81,14.24
18:52:51,28.45,7.56
18:54:14,20.86,12.38
18:55:35,25.03,10.35
18:56:57,8.39,7.28
18:58:20,9.59,10.82
18:59:42,8.69,10.45
19:01:05,8.65,8.6
19:02:28,23.76,8.21
19:03:50,15.68,10.63
19:05:10,30.74,13.31
19:06:31,13.56,12.96
19:07:52,14.03,14.94
19:09:13,9.49,10.94
19:10:34,15.82,10.66
19:11:56,17.31,14.08
19:13:17,11.2,11.32
19:14:39,30.18,12.74
19:16:00,27.95,10.97
19:17:20,23.37,14.24
19:18:41,14.55,13.14
19:20:03,22.69,12.84
19:21:23,10.68,12.77
19:22:47,21.3,10.19
19:24:10,10.83,15.03
19:25:30,4.89,13.9
19:26:52,4.05,14.02
19:28:15,8.8,10.77
19:29:35,6.85,16.87
19:30:57,12.18,14.49
19:32:21,9.13,8.54
19:33:42,9.52,16.09
19:35:03,11.16,14.91
19:36:24,5.45,15.09
19:37:46,9.05,12.69
19:39:08,2.82,14.18
19:40:30,10.84,15.34
19:41:51,9.22,15.6
19:43:11,9.83,13.2
19:44:33,3.66,15.24
19:45:54,5.12,10.71
19:47:15,3.49,12.33
19:48:36,7.31,7.54
19:49:59,6.83,14.64
19:51:20,12.59,11.72
19:52:42,14.68,8.78
19:54:03,8.77,11.35
19:55:25,6.35,10.87
19:56:47,9.6,10.83
19:58:08,10.24,8.47
19:59:30,6.62,7.74
20:00:55,8.95,7.81
20:02:16,11.82,5.72
