time,downspeed,upspeed
15:24:47,0.03,2.45
15:26:56,0.22,2.39
15:28:26,0.03,3.12
15:29:59,0.03,2.6
15:31:40,1.03,9.88
15:33:02,0.06,2.18
15:34:31,0.05,4.1
15:35:58,0.74,6.3
15:37:19,0.06,6.34
15:38:47,0.05,5.17
15:40:24,0.08,1.64
15:41:56,0.12,4.84
15:43:21,0.14,4.22
15:44:44,0.6,3.53
15:46:09,0.27,4.55
15:47:35,0.12,3.73
15:49:02,0.24,4.25
15:50:28,0.23,7.99
15:51:51,0.38,9.68
15:53:16,0.69,12.78
15:54:40,0.47,10.45
15:56:06,0.5,8.2
15:57:30,0.06,3.71
15:58:58,0.32,8.16
16:00:21,0.09,3.31
16:01:59,0.3,5.65
16:03:25,0.13,3.71
16:04:51,0.28,5.02
16:06:13,0.12,8.63
16:07:39,0.14,6.45
16:09:03,0.14,5.37
16:10:29,0.18,8.97
16:11:52,0.08,6.33
16:13:18,0.18,4.82
16:14:47,0.09,4.6
16:16:12,0.07,1.75
16:17:50,0.04,2.67
16:19:16,0.02,1.03
16:21:10,0.04,1.66
16:22:49,0.03,4.56
16:24:18,0.04,2.53
16:25:50,18.31,3.54
16:27:11,126.48,4.31
16:28:34,15.85,2.39
16:29:58,10.21,3.03
16:31:19,104.67,4.94
16:32:43,13.77,2.79
16:34:04,8.08,2.48
16:35:29,11.17,10.31
16:36:49,115.07,4.46
16:38:12,6.91,2.44
16:39:36,112.29,6.96
16:40:59,7.86,2.38
16:42:25,0.1,5.7
16:43:56,0.17,5.88
16:45:23,0.22,3.67
16:46:51,0.12,4.96
16:48:17,0.16,6.37
16:49:43,0.33,5.9
16:51:07,0.14,5.34
16:52:35,11.01,2.04
16:53:59,118.79,7.85
16:55:23,151.07,7.22
16:56:45,121.96,9.47
16:58:06,123.95,9.07
16:59:29,13.79,2.95
17:00:51,87.74,9.36
17:02:14,1.81,2.15
17:03:41,120.21,5.99
17:05:02,140.97,7.01
17:06:23,4.76,3.19
17:07:46,110.77,7.24
17:09:07,93.17,8.82
17:10:28,0.08,3.62
17:11:54,0.16,6.44
17:13:23,0.07,4.71
17:14:53,49.29,2.13
17:16:24,0.26,4.44
17:17:53,0.49,7.44
17:19:16,0.1,5.55
17:20:41,0.11,7.65
17:22:08,0.18,7.03
17:23:33,0.14,4.37
17:24:58,0.13,4.35
17:26:26,0.06,4.32
17:27:58,0.05,2.28
17:29:30,0.1,5.55
17:30:55,0.1,4.72
17:32:20,0.15,2.42
17:33:48,0.08,5.04
17:35:16,121.79,7.57
17:36:36,104.92,7.94
17:37:59,94.46,4.2
17:39:21,8.62,4.73
17:40:47,134.41,8.1
17:42:10,95.23,10.11
17:43:31,106.23,9.05
17:44:52,127.27,11.01
17:46:14,117.5,9.95
